Id,MSSubClass,LotArea,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF2,TotalBsmtSF,SalePrice
0,60,8450,5,2003,2003,0,856,208500
1,20,9600,8,1976,1976,0,1262,181500
2,60,11250,5,2001,2002,0,920,223500
3,70,9550,5,1915,1970,0,756,140000
4,60,14260,5,2000,2000,0,1145,250000
5,50,14115,5,1993,1995,0,796,143000
6,20,10084,5,2004,2005,0,1686,307000
7,60,10382,6,1973,1973,32,1107,200000
8,50,6120,5,1931,1950,0,952,129900
9,190,7420,6,1939,1950,0,991,118000
10,20,11200,5,1965,1965,0,1040,129500
11,60,11924,5,2005,2006,0,1175,345000
12,20,12968,6,1962,1962,0,912,144000
13,20,10652,5,2006,2007,0,1494,279500
14,20,10920,5,1960,1960,0,1253,157000
15,45,6120,8,1929,2001,0,832,132000
16,20,11241,7,1970,1970,0,1004,149000
17,90,10791,5,1967,1967,0,0,90000
18,20,13695,5,2004,2004,0,1114,159000
19,20,7560,6,1958,1965,0,1029,139000
20,60,14215,5,2005,2006,0,1158,325300
21,45,7449,7,1930,1950,0,637,139400
22,20,9742,5,2002,2002,0,1777,230000
23,120,4224,7,1976,1976,0,1040,129900
24,20,8246,8,1968,2001,668,1060,154000
25,20,14230,5,2007,2007,0,1566,256300
26,20,7200,7,1951,2000,486,900,134800
27,20,11478,5,2007,2008,0,1704,306000
28,20,16321,6,1957,1997,0,1484,207500
29,30,6324,6,1927,1950,0,520,68500
30,70,8500,4,1920,1950,0,649,40000
31,20,8544,6,1966,2006,0,1228,149350
32,20,11049,5,2007,2007,0,1234,179900
33,20,10552,5,1959,1959,0,1398,165500
34,120,7313,5,2005,2005,0,1561,277500
35,60,13418,5,2004,2005,0,1117,309000
36,20,10859,5,1994,1995,0,1097,145000
37,20,8532,6,1954,1990,0,1297,153000
38,20,7922,7,1953,2007,0,1057,109000
39,90,6040,5,1955,1955,0,0,82000
40,20,8658,5,1965,1965,0,1088,160000
41,20,16905,6,1959,1959,0,1350,170000
42,85,9180,7,1983,1983,93,840,144000
43,20,9200,6,1975,1980,491,938,130250
44,20,7945,6,1959,1959,506,1150,141000
45,120,7658,5,2005,2005,0,1752,319900
46,50,12822,5,2003,2003,0,1434,239686
47,20,11096,5,2006,2006,0,1656,249700
48,190,4456,5,1920,2008,0,736,113000
49,20,7742,7,1966,1966,0,955,127000
50,60,13869,6,1997,1997,0,794,177000
51,50,6240,6,1934,1950,0,816,114500
52,90,8472,5,1963,1963,712,816,110000
53,20,50271,5,1981,1987,0,1842,385000
54,80,7134,5,1955,1955,0,384,130000
55,20,10175,5,1964,1964,0,1425,180500
56,160,2645,5,1999,2000,0,970,172500
57,60,11645,5,2004,2004,0,860,196500
58,60,13682,5,2006,2006,0,1410,438780
59,20,7200,7,1972,1972,0,780,124900
60,20,13072,5,2004,2004,0,1158,158000
61,75,7200,7,1920,1996,0,530,101000
62,120,6442,5,2006,2006,0,1370,202500
63,70,10300,6,1921,1950,0,576,140000
64,60,9375,5,1997,1998,0,1057,219500
65,60,9591,5,2004,2005,0,1143,317000
66,20,19900,5,1970,1989,0,1947,180000
67,20,10665,5,2003,2003,0,1453,226000
68,30,4608,6,1945,1950,0,747,80000
69,50,15593,4,1953,1953,0,1304,225000
70,20,13651,6,1973,1973,0,2223,244000
71,20,7599,6,1982,2006,0,845,129500
72,60,10141,5,1998,1998,0,832,185000
73,20,10200,7,1954,2003,362,1086,144900
74,50,5790,6,1915,1950,0,840,107400
75,180,1596,5,1973,1973,0,462,91000
76,20,8475,7,1956,1956,0,952,135750
77,50,8635,5,1948,2001,41,672,127000
78,90,10778,5,1968,1968,0,1768,136500
79,50,10440,6,1910,1981,0,440,110000
80,60,13000,6,1968,1968,0,896,193500
81,120,4500,5,1998,1998,0,1237,153500
82,20,10206,5,2007,2007,0,1563,245000
83,20,8892,5,1960,1960,0,1065,126500
84,80,8530,5,1995,1996,0,384,168500
85,60,16059,5,1991,1992,0,1288,260000
86,60,11911,5,2005,2005,0,684,174000
87,160,3951,5,2009,2009,0,612,164500
88,50,8470,2,1915,1982,0,1013,85000
89,20,8070,5,1994,1995,0,990,123600
90,20,7200,5,1950,1950,0,0,109900
91,20,8500,3,1961,1961,0,1235,98600
92,30,13360,7,1921,2006,0,876,163500
93,190,7200,6,1910,1998,0,1214,133900
94,60,9337,5,1997,1997,0,824,204750
95,60,9765,8,1993,1993,0,680,185000
96,20,10264,5,1999,1999,0,1588,214000
97,20,10921,5,1965,1965,0,960,94750
98,30,10625,5,1920,1950,0,458,83000
99,20,9320,5,1959,1959,0,950,128950
100,20,10603,7,1977,2001,0,1610,205000
101,60,9206,5,1985,1985,0,741,178000
102,90,7018,5,1979,1979,0,0,118964
103,20,10402,5,2009,2009,0,1226,198900
104,50,7758,4,1931,1950,0,1040,169500
105,60,9375,5,2003,2004,0,1053,250000
106,30,10800,7,1885,1995,0,641,100000
107,20,6000,5,1948,1950,169,789,115000
108,50,8500,7,1919,2005,0,793,115000
109,20,11751,6,1977,1977,0,1844,190000
110,50,9525,4,1954,1972,0,994,136900
111,80,7750,5,2000,2000,0,384,180000
112,60,9965,5,2007,2007,0,1264,383970
113,20,21000,5,1953,1953,869,1809,217000
114,70,7259,8,1945,2002,150,1028,259500
115,160,3230,5,1999,1999,0,729,176000
116,20,11616,5,1962,1962,670,1092,139000
117,20,8536,5,2006,2007,0,1125,155000
118,60,12376,5,1990,1990,0,1673,320000
119,60,8461,5,2005,2006,0,728,163990
120,80,21453,5,1969,1969,0,938,180000
121,50,6060,5,1939,1950,0,732,100000
122,20,9464,7,1958,1958,0,1080,136000
123,120,7892,5,1993,1993,0,1199,153900
124,20,17043,5,1979,1998,0,1362,181000
125,190,6780,8,1935,1982,0,520,84500
126,120,4928,5,1976,1976,0,1078,128000
127,45,4388,7,1930,1950,0,672,87000
128,60,7590,5,1966,1966,0,660,155000
129,20,8973,7,1958,1991,28,1008,150000
130,60,14200,6,1966,1966,0,924,226000
131,60,12224,5,2000,2000,0,992,244000
132,20,7388,6,1959,2002,0,1063,150750
133,20,6853,5,2001,2002,0,1267,220000
134,20,10335,6,1968,1993,0,1461,180000
135,20,10400,6,1970,1970,0,1304,174000
136,20,10355,5,1967,1967,0,1214,143000
137,90,11070,5,1988,1989,0,1907,171000
138,60,9066,5,1999,2000,0,1004,230000
139,60,15426,5,1997,1997,0,928,231500
140,20,10500,5,1971,1971,0,864,115000
141,20,11645,5,2005,2005,0,1734,260000
142,50,8520,4,1952,1952,0,910,166000
143,20,10335,5,1999,1999,0,1490,204000
144,90,9100,5,1963,1963,0,1728,125000
145,160,2522,5,2004,2006,0,970,130000
146,30,6120,7,1931,1993,0,715,105000
147,60,9505,5,2001,2001,0,884,222500
148,20,7500,5,2004,2005,0,1080,141000
149,50,6240,4,1936,1950,0,896,115000
150,20,10356,6,1975,1975,0,969,122000
151,20,13891,5,2007,2008,0,1710,372402
152,60,14803,5,1971,1971,0,825,190000
153,20,13500,7,1960,1975,1080,1602,235000
154,30,11340,5,1923,1950,0,1200,125000
155,50,9600,5,1924,1950,0,572,79000
156,20,7200,7,1950,1950,0,0,109500
157,60,12003,5,2009,2010,0,774,269500
158,60,12552,5,2004,2005,0,991,254900
159,60,19378,5,2005,2006,0,1392,320000
160,20,11120,6,1984,1984,0,1232,162500
161,60,13688,5,2003,2004,0,1572,412500
162,20,12182,5,2005,2005,0,1541,220000
163,45,5500,6,1956,1956,0,882,103200
164,40,5400,7,1926,2004,0,1149,152000
165,190,10106,7,1940,1999,181,644,127500
166,20,10708,5,1955,1993,768,1617,190000
167,60,10562,5,2007,2007,0,1582,325624
168,60,8244,5,2004,2004,0,840,183500
169,20,16669,6,1981,1981,0,1686,228000
170,50,12358,6,1941,1950,0,720,128500
171,20,31770,5,1960,1960,0,1080,215000
172,160,5306,7,1987,1987,215,1064,239000
173,20,10197,5,1961,1961,374,1362,163000
174,20,12416,5,1986,1986,208,1606,184000
175,20,12615,7,1950,2001,0,1202,243000
176,60,10029,5,1988,1989,0,1151,211000
177,50,13650,5,1958,1958,441,1052,172500
178,20,17423,5,2008,2009,0,2216,501837
179,30,8520,6,1923,2006,0,968,100000
180,160,2117,5,2000,2000,0,756,177000
181,70,7588,6,1920,1950,0,793,200100
182,20,9060,6,1957,2006,0,0,120000
183,50,11426,5,2003,2003,0,1362,200000
184,50,7438,8,1908,1991,0,504,127000
185,75,22950,9,1892,1993,0,1107,475000
186,80,9947,5,1990,1991,0,1188,173000
187,50,10410,7,1916,1987,0,660,135000
188,90,7018,5,1979,1979,0,1086,153337
189,120,4923,5,2001,2002,0,1593,286000
190,70,10570,8,1932,1994,0,853,315000
191,60,7472,9,1972,2004,0,725,184000
192,20,9017,5,1999,1999,0,1431,192000
193,160,2522,5,2004,2004,0,970,130000
194,20,7180,7,1972,1972,0,864,127000
195,160,2280,6,1976,1976,0,855,148500
196,20,9416,5,2007,2007,0,1726,311872
197,75,25419,4,1918,1990,184,1360,235000
198,75,5520,6,1912,1950,0,755,104000
199,20,9591,5,2004,2005,0,1713,274900
200,20,8546,5,2003,2004,0,1121,140000
201,20,10125,6,1977,1977,279,1196,171500
202,50,7000,6,1924,1950,0,617,112000
203,120,4438,5,2004,2004,0,848,149000
204,50,3500,7,1947,1950,0,720,110000
205,20,11851,5,1990,1990,0,1424,180500
206,20,13673,5,1962,1962,0,1140,143900
207,20,12493,5,1960,1960,306,1100,141000
208,60,14364,5,1988,1989,0,1157,277000
209,20,8250,7,1964,1964,0,1092,145000
210,30,5604,6,1925,1950,0,864,98000
211,20,10420,5,2009,2009,0,1212,186000
212,60,8640,5,2009,2009,0,900,252678
213,20,13568,5,1995,1995,0,990,156000
214,60,10900,7,1977,1977,0,689,161750
215,20,10011,6,1957,1996,0,1070,134450
216,20,8450,5,2004,2004,0,1436,210000
217,70,9906,4,1925,1950,0,686,107000
218,50,15660,9,1939,2006,0,798,311500
219,120,3010,5,2005,2006,0,1248,167240
220,20,8990,5,2006,2006,0,1498,204900
221,60,8068,5,2002,2002,0,1010,200000
222,60,11475,6,1975,1975,0,713,179900
223,20,10500,6,1971,1971,180,864,97000
224,20,13472,5,2003,2003,0,2392,386250
225,160,1680,5,1971,1971,0,630,112000
226,60,9950,5,1995,1995,0,1203,290000
227,160,1869,6,1970,1970,0,483,106000
228,20,8521,5,1967,1967,0,912,125000
229,120,3182,5,2005,2006,0,1373,192500
230,20,8760,6,1959,1959,0,1194,148000
231,60,15138,5,1995,1996,0,1462,403000
232,160,1680,5,1972,1972,0,483,94500
233,20,10650,6,1976,1976,712,894,128200
234,60,7851,5,2002,2002,0,860,216500
235,160,1680,3,1971,1971,0,483,89500
236,20,8773,5,2004,2004,0,1414,185500
237,60,9453,7,1993,2003,0,996,194500
238,20,12030,5,2007,2007,0,1694,318000
239,50,8741,4,1945,1950,0,735,113000
240,20,9000,5,2008,2008,0,1566,262500
241,30,3880,9,1945,1997,0,686,110500
242,50,5000,4,1900,1950,0,540,79000
243,160,10762,6,1980,1980,0,626,120000
244,60,8880,5,1994,2002,0,948,205000
245,20,10400,5,1988,1988,0,1845,241500
246,190,9142,8,1910,1950,0,1020,137000
247,20,11310,5,1954,1954,0,1367,140000
248,60,11317,5,2003,2003,0,840,180000
249,50,159000,7,1958,2006,0,1444,277000
250,30,5350,2,1940,1966,0,728,76500
251,120,4750,5,2006,2007,0,1573,235000
252,60,8366,5,2004,2004,0,798,173000
253,80,9350,7,1964,1991,580,1302,158000
254,20,8400,6,1957,1957,0,1314,145000
255,60,8738,5,1999,1999,0,975,230000
256,60,8791,5,2003,2003,0,864,207500
257,20,8814,5,2006,2006,0,1604,220000
258,60,12435,5,2001,2001,0,963,231500
259,20,12702,5,1956,1956,0,0,97000
260,80,19296,5,1962,1962,690,1362,176000
261,60,9588,5,2007,2007,0,1482,276000
262,80,8471,7,1977,1995,0,506,151000
263,50,5500,7,1929,2001,692,926,130000
264,30,5232,5,1925,2004,0,680,73000
265,20,12090,6,1981,1981,228,1422,175500
266,60,11207,5,1997,1997,0,802,185000
267,75,8400,8,1939,1997,0,720,179500
268,30,6900,6,1940,1955,125,740,120500
269,20,7917,7,1976,1976,0,1143,148000
270,60,10728,5,2006,2006,0,1095,266000
271,20,39104,7,1954,2005,1063,1385,241500
272,60,11764,7,1999,2007,0,1152,290000
273,20,9600,6,1958,1988,620,1240,139000
274,20,8314,7,1982,1982,0,816,124500
275,50,7264,7,1925,2007,0,952,205000
276,20,9196,5,2003,2003,0,1560,201000
277,20,19138,5,1951,1951,0,864,141000
278,20,14450,5,2006,2007,0,2121,415298
279,60,10005,5,1977,1977,0,1160,192000
280,60,11287,6,1989,1989,0,807,228500
281,20,7200,5,2006,2006,0,1262,185000
282,120,5063,5,2007,2008,0,1314,207500
283,20,9612,5,2008,2009,0,1468,244600
284,120,8012,5,1992,1992,0,1575,179200
285,160,4251,5,2006,2007,0,625,164700
286,50,9786,7,1962,1981,0,912,159000
287,20,8125,4,1971,1971,0,858,88000
288,20,9819,5,1967,1967,0,882,122000
289,70,8730,7,1915,2003,0,698,153575
290,60,15611,5,2006,2006,0,1079,233230
291,190,5687,6,1912,2000,0,780,135900
292,50,11409,4,1949,2008,0,768,131000
293,60,16659,7,1977,1994,0,795,235000
294,20,9600,5,1953,1953,0,1416,167000
295,80,7937,6,1984,1984,0,1003,142500
296,50,13710,5,1950,1950,0,910,152000
297,60,7399,5,1997,1998,0,975,239000
298,60,11700,6,1968,1968,175,702,175000
299,20,14000,8,1950,2004,0,1092,158500
300,190,15750,5,1953,1953,0,1165,157000
301,60,16226,5,1998,1999,0,1028,267000
302,20,13704,5,2001,2002,0,1541,205000
303,20,9800,7,1972,1972,0,894,149900
304,75,18386,9,1880,2002,0,1470,295000
305,20,10386,5,2004,2005,0,2000,305900
306,60,13474,5,1990,1991,0,700,225000
307,50,7920,7,1920,1950,0,319,89500
308,30,12342,5,1940,1950,0,861,82500
309,20,12378,5,2003,2004,0,1896,360000
310,60,7685,5,1993,1994,0,697,165600
311,20,8000,6,1948,2002,0,972,132000
312,190,7800,7,1939,1950,0,793,119900
313,20,215245,5,1965,1965,820,2136,375000
314,70,9600,7,1925,1990,0,728,178000
315,60,7795,5,2004,2005,0,716,188500
316,60,13005,7,1980,1980,0,845,260000
317,60,9000,5,2006,2006,0,1088,270000
318,60,9900,5,1993,1993,0,1347,260000
319,80,14115,5,1980,1980,0,1372,187500
320,60,16259,5,2006,2006,0,1249,342643
321,60,12099,5,2004,2004,0,1136,354000
322,60,10380,5,1986,1987,1474,1502,301000
323,20,5820,8,1955,2005,0,1162,126175
324,80,11275,7,1967,2007,0,710,242000
325,45,5000,6,1941,1950,0,720,87000
326,120,10846,5,1993,1993,0,1719,324000
327,20,11600,5,1960,1960,0,1383,145250
328,75,11888,6,1916,1994,0,844,214500
329,70,6402,5,1920,1950,0,596,78000
330,90,10624,4,1964,1964,264,1728,119000
331,20,8176,6,1958,1992,0,1056,139000
332,20,10655,5,2003,2004,479,3206,284000
333,120,8198,5,2004,2004,0,1358,207000
334,60,9042,5,1998,1998,0,943,192000
335,190,164660,6,1965,1965,147,1499,228950
336,20,14157,5,2005,2006,0,1922,377426
337,20,9135,5,2002,2003,0,1536,214000
338,20,14145,7,1984,1998,0,1208,202500
339,20,12400,7,1958,1998,0,1215,155000
340,60,14191,5,2002,2002,0,967,202900
341,20,8400,4,1950,1950,0,721,82000
342,90,8544,4,1949,1950,0,0,87500
343,120,8849,5,2005,2005,0,1684,266000
344,160,2592,3,1976,1976,232,536,85000
345,50,6435,5,1939,1950,0,972,140200
346,20,12772,8,1960,1998,0,958,151500
347,20,17600,5,1960,1960,0,1478,157500
348,160,2448,5,2003,2004,0,764,154000
349,60,20431,5,2005,2006,0,1848,437154
350,120,7820,5,2007,2007,0,1869,318061
351,120,5271,5,1986,1986,0,1453,190000
352,50,9084,6,1941,1950,380,616,95000
353,30,8520,8,1928,2003,0,624,105900
354,50,8400,5,1940,2000,0,940,140000
355,20,11249,5,1995,1995,544,1200,177500
356,20,9248,6,1992,1992,0,1158,173000
357,120,4224,5,1976,1976,0,1142,134000
358,80,6930,4,1958,1958,294,1062,130000
359,60,12011,5,1998,1998,0,1086,280000
360,85,7540,6,1978,1978,0,888,156000
361,50,9144,5,1940,1982,0,883,145000
362,85,7301,5,2003,2003,0,0,198500
363,160,1680,8,1972,2007,0,483,118000
364,60,18800,5,1976,1976,0,796,190000
365,70,10690,7,1920,1997,0,672,147000
366,20,9500,5,1963,1963,0,1394,159000
367,80,9150,5,1962,1962,0,1099,165000
368,20,7800,6,1954,1954,0,1268,132000
369,20,9830,7,1959,2006,258,1063,162000
370,60,8121,5,2000,2000,0,953,172400
371,50,17120,4,1959,1959,0,0,134432
372,120,7175,5,1984,1984,121,744,125000
373,20,10634,6,1953,1953,180,608,123000
374,60,8200,5,2003,2004,0,847,219500
375,30,10020,1,1922,1950,0,683,61000
376,85,8846,5,1996,1996,0,870,148000
377,60,11143,5,2004,2005,0,1580,340000
378,20,11394,2,2010,2010,0,1856,394432
379,60,8123,5,2000,2000,0,982,179000
380,50,5000,6,1924,1950,0,1026,127000
381,20,7200,5,2006,2006,0,1293,187750
382,60,9245,5,2006,2006,0,939,213500
383,45,9000,3,1928,1950,0,784,76000
384,60,53107,5,1992,1992,0,1580,240000
385,120,3182,5,2004,2005,0,1256,192000
386,50,8410,3,1910,1996,0,658,81000
387,80,7200,6,1976,1976,0,1041,125000
388,20,9382,5,1999,2000,0,1468,191000
389,60,12474,5,2007,2008,0,1682,426000
390,50,8405,8,1900,1950,391,861,119000
391,60,12209,5,2001,2002,0,804,215000
392,20,8339,7,1959,1959,0,0,106500
393,30,7446,5,1941,1950,0,788,100000
394,50,10134,6,1940,1950,0,735,109000
395,20,9571,6,1956,1956,0,1144,129000
396,20,7200,5,1972,1972,0,894,123000
397,60,7590,5,1962,1962,0,864,169500
398,30,8967,2,1920,1950,0,961,67000
399,60,8125,5,2006,2007,0,1092,241000
400,120,14963,5,1996,1996,0,1260,245500
401,20,8767,5,2005,2005,0,1310,164990
402,30,10200,8,1940,1997,0,672,108000
403,60,12090,5,1998,1998,0,1141,258000
404,60,10364,5,1995,1996,0,806,168000
405,20,9991,4,1976,1993,0,1281,150000
406,50,10480,5,1936,1950,0,1064,115000
407,70,15576,7,1915,1976,0,840,177000
408,60,14154,5,2006,2006,0,1063,280000
409,60,10800,5,2007,2008,0,1034,339750
410,20,9571,3,1958,1958,0,1276,60000
411,190,34650,5,1955,1955,0,1056,145000
412,20,4403,5,2009,2009,0,1470,222000
413,30,8960,6,1927,1950,0,1008,115000
414,60,11228,5,1993,1993,531,1080,228000
415,20,8899,5,2007,2007,0,1340,181134
416,60,7844,7,1978,1978,0,672,149500
417,70,22420,6,1918,1950,0,1370,239000
418,50,8160,6,1940,1950,0,756,126000
419,20,8450,6,1968,1968,0,1056,142000
420,90,7060,5,1997,1998,0,1344,206300
421,20,16635,7,1977,2000,0,1602,215000
422,20,21750,5,1954,1954,0,988,113000
423,60,9200,5,1998,1998,0,1470,315000
424,20,9000,5,1956,1956,0,1196,139000
425,60,3378,8,1946,1992,0,651,135000
426,80,12800,5,1989,1989,0,1518,275000
427,20,8593,6,1957,1957,0,907,109008
428,20,6762,5,2007,2007,0,1208,195400
429,20,11457,5,1988,1988,0,1392,175000
430,160,1680,5,1971,1971,0,483,85400
431,50,5586,7,1920,1998,0,901,79900
432,160,1920,5,1971,1971,0,765,122500
433,60,10839,5,1997,1998,0,926,181000
434,180,1890,7,1972,1972,0,630,81000
435,60,10667,6,1996,1996,344,799,212000
436,50,4400,8,1920,1950,0,648,116000
437,45,6000,7,1926,2004,0,884,119000
438,30,4280,6,1913,2002,0,440,90350
439,50,12354,8,1920,2000,0,684,110000
440,20,15431,5,2008,2008,539,3094,555000
441,90,12108,4,1955,1955,0,1440,118000
442,50,6240,7,1930,1992,0,1078,162900
443,120,3922,5,2006,2007,0,1258,172500
444,60,8750,5,1994,1995,0,915,210000
445,20,9855,5,1956,1956,0,1436,127500
446,20,16492,6,1966,2002,713,1517,190000
447,60,11214,5,1998,1999,0,930,199900
448,50,8600,6,1937,1950,0,780,119500
449,50,6000,7,1948,2002,0,649,120000
450,30,5684,8,1930,2005,0,813,110000
451,20,70761,5,1975,1975,0,1533,280000
452,60,9303,5,1996,1997,0,872,204000
453,60,9000,5,2008,2008,0,768,210000
454,90,9297,5,1976,1976,0,1728,188000
455,20,9600,6,1973,1973,0,1242,175500
456,70,4571,5,1916,1950,0,624,98000
457,20,53227,6,1954,1994,0,1364,256000
458,70,5100,7,1925,1996,0,588,161000
459,50,7015,4,1950,1950,0,709,110000
460,60,8004,5,2009,2009,0,832,263435
461,70,7200,9,1936,2007,210,560,155000
462,20,8281,5,1965,1965,311,864,62383
463,70,11988,7,1934,1995,0,715,188700
464,20,8430,5,1978,1978,0,1040,124000
465,120,3072,5,2004,2004,0,1375,178740
466,20,10628,5,1970,1970,0,1277,167000
467,70,9480,7,1942,1995,0,728,146500
468,20,11428,5,2006,2006,0,1626,250000
469,60,9291,5,1993,1993,0,832,187000
470,120,6820,5,1985,1985,1120,1488,212000
471,60,11952,6,1977,1977,0,808,190000
472,180,3675,5,2005,2005,0,547,148000
473,20,14977,5,2006,2007,0,1976,440000
474,120,5330,5,2000,2000,0,1494,251000
475,20,8480,6,1963,1963,0,970,132500
476,20,13125,5,1997,1998,0,1478,208900
477,60,13693,5,2006,2006,0,2153,380000
478,20,10637,5,2007,2008,0,1705,297000
479,30,5925,7,1937,2000,0,907,89471
480,20,16033,5,2004,2005,0,1833,326000
481,20,11846,5,2003,2004,0,1792,374000
482,70,2500,8,1915,2005,0,910,155000
483,120,4500,5,1998,1998,0,1216,164000
484,20,7758,7,1962,2001,0,999,132500
485,20,9600,7,1950,2007,0,1113,147000
486,20,10289,7,1965,1965,0,1073,156000
487,20,12243,6,1971,1971,0,1484,175000
488,190,10800,4,1900,1970,0,954,160000
489,180,1526,8,1970,2002,0,630,86000
